"","subject","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"148","BK","Right","Inverted",0.665589646553942,0.350681387949562,0.700596113112686,236.884374315022,"None",327.239951973684,6.19280451963475e-39
"149","BL","Left","Canonical",0.779512037303083,-0.107200635753811,0.595167713874121,189.433870371565,"None",320.435558349754,1.65741589810829e-56
"150","BL","Left","Inverted",0.338057717802038,0.767894985476274,1.4369824872824,321.535766510893,"None",337.700920319342,4.45827428842421e-07
"151","BL","Right","Canonical",0.179461271519607,-0.107709806298574,1.16519862462735,328.900202795338,"None",335.038080729884,0.00649583196231703
"152","BL","Right","Inverted",0.611612715535727,-0.320895821558496,0.451682127291594,234.327041837562,"None",328.401589337013,1.53258433397915e-40
"153","BM","Left","Canonical",0.5837156063894,0.333148500649579,0.671615940593803,254.844537784035,"None",328.037360430164,1.58630715114877e-31
"154","BM","Left","Inverted",0.270982861691472,0.656705657611034,1.0117454977371,322.122865905143,"None",336.305492342661,3.04417554136925e-06
"155","BM","Right","Canonical",0.242064953922496,1.59760495483602,4,333.00362528157,"None",335.210295607239,0.220151582332769
"156","BM","Right","Inverted",0.554700518307709,0.297078111146115,0.967612491808157,273.794694838461,"None",328.373107712411,1.66643091459855e-23
"157","BN","Left","Canonical",0.746772046511627,0.179593959034228,0.551775976425321,201.459405195226,"None",325.781628516991,1.28531657679729e-53
"158","BN","Left","Inverted",0.294305587389836,-0.0372356557298141,0.574845706584225,310.113262777079,"None",334.867659114159,1.01649215887986e-10
"159","BN","Right","Canonical",0.438982603235932,-0.524803590085078,1.33796359915044,302.787706008439,"None",330.680033543674,4.66981209298651e-12
"160","BN","Right","Inverted",0.370790851883694,0.138592694637188,0.471989258689164,290.150441874128,"None",330.770535399855,1.66338767099237e-17
"161","BO","Left","Canonical",0.977655527894119,0.0245477274819331,0.376017354158872,74.9604550629736,"list(message = ""NaNs produced"", call = log(likelihood + 1e-08))",317.805359034797,6.02294973386812e-105
"162","BO","Left","Inverted",0.796995394269205,0.0658029726482172,0.49925572114632,177.59924501538,"None",323.275462402405,7.40039750182444e-63
"163","BO","Right","Canonical",0.737229233572287,0.0800275373071964,0.358920390617178,176.939472871878,"None",323.277835152508,3.82531554328671e-63
"164","BO","Right","Inverted",0.714671282966265,0.133722531504417,0.423164621491124,194.421547860987,"None",322.836702494757,2.17997423174336e-55
"165","BP","Left","Canonical",0.517440842570848,0.358746408340473,0.691533097577779,275.734898883002,"None",334.441948127255,2.78166831367846e-25
"166","BP","Left","Inverted",0.458968288743723,0.743703410922692,0.940723265878857,294.379983203517,"None",333.708182162328,5.9594622860393e-17
"167","BP","Right","Canonical",0.331950166125116,0.391296123115972,0.622821500518046,300.617511940442,"None",329.528745276038,1.71523761707541e-12
"168","BP","Right","Inverted",0.327457155963329,0.389708668161161,0.780128926300555,307.573495173616,"None",332.178445663999,1.17690907819167e-10
"169","BQ","Left","Canonical",0.730288468709923,0.0921631770458309,0.461044197356911,194.543378818917,"None",324.200686054928,6.32507506194214e-56
"170","BQ","Left","Inverted",0.636435435991052,0.279150986979115,0.574103405680137,235.768705626354,"None",327.283308314271,1.9555411818677e-39
"171","BQ","Right","Canonical",0.770315709850592,0.235674474929737,0.846123168435348,217.676796837469,"None",324.68944430072,3.92812651203938e-46
"172","BQ","Right","Inverted",0.59715712470921,0.147147520329186,0.600027457101209,245.25307620186,"None",326.003903618984,8.69069191648878e-35
"173","BR","Left","Canonical",0.734354393648795,0.288676280460395,0.577146380170067,204.977519687163,"None",323.364601832049,4.74322194465428e-51
"174","BR","Left","Inverted",0.304463725081436,0.0322459976273945,0.713082936540888,311.42936624502,"None",334.071106181866,8.05412944191383e-10
"175","BR","Right","Canonical",0.192308098072634,0.228629402275412,0.546866821176694,324.90403655002,"None",337.154029576701,1.96412238753791e-05
"176","BR","Right","Inverted",0.52281876089502,0.26232930079524,0.437777839038193,255.107814295936,"None",328.873897380915,8.97625025436348e-32
"177","BS","Left","Canonical",0.768148433638153,-0.0511150958387013,0.71472498188009,205.437653966211,"None",322.295156068527,2.17551192192111e-50
"178","BS","Left","Inverted",0.432059583123013,-0.211190132924232,1.78099546629246,309.073888663096,"None",330.232723331768,3.43524124999629e-09
"179","BS","Right","Canonical",0.484666957992686,0.105257715282826,0.563115571426449,271.722998671331,"None",330.645729968652,2.2460474177111e-25
"180","BS","Right","Inverted",0.729430197915657,-0.0201884046383302,1.03459891765631,236.339697204739,"None",322.106316842657,5.93819736088964e-37
